qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0016-1,4mKxze5P9gQ,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In which directions is the person looking?,15.06,Please state your answer with a brief explanation.,The person is looking to the left and forward. This is what can be observed at different viewpoints of the image as requested by the speaker.,https://www.youtube.com/shorts/4mKxze5P9gQ
0016-2,4mKxze5P9gQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing both sideways and forward due to photo editing?,15.06,Please state your answer with a brief explanation.,"Yes, this is an optical illusion achieved through photo editing. The picture is designed to trick your brain into seeing two different perspectives of the same person.",https://www.youtube.com/shorts/4mKxze5P9gQ
0016-3,4mKxze5P9gQ,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing forward because of the symmetry of the shoulders?,15.06,Please state your answer with a brief explanation.,"No, the person isn't facing forward because of the symmetry of the shoulders. The video highlights how the illusion changes based on your perspective.",https://www.youtube.com/shorts/4mKxze5P9gQ
0016-7,4mKxze5P9gQ,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left",15.06,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",B,https://www.youtube.com/shorts/4mKxze5P9gQ
0036-0,1SiTuYb506o,Primary Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Why can the apparently slow spinning machine cut the zucchini so thinly?,18.01,Please state your answer with a brief explanation.,"The blade's speed is much faster than it appears, but it looks slow due to the camera's frame rate being synced with the blade's revolutions per second.",https://www.youtube.com/shorts/1SiTuYb506o
0036-1,1SiTuYb506o,Paraphrased Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?,18.01,Please state your answer with a brief explanation.,"The blade appears to move slowly due to the camera's frame rate being synced with the blade's rotation speed. In reality, the blade is moving very fast, allowing it to slice the zucchini quickly and thinly.",https://www.youtube.com/shorts/1SiTuYb506o
0036-2,1SiTuYb506o,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?",18.01,Please state your answer with a brief explanation.,"Yes, the blades are spinning at a high speed which is what makes the machine cut the zucchini so thinly. The speed also creates a stroboscopic effect, which makes the blades appear to be moving slower than they actually are.",https://www.youtube.com/shorts/1SiTuYb506o
0036-3,1SiTuYb506o,Wrongly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the machine able to cut the zucchini thinly because of the sharpness of the blade, even at a slower speed?",18.01,Please state your answer with a brief explanation.,"No, the machine's blades are moving at a very high speed which is why the zucchini is sliced so thinly. The camera's frame rate is synced with the speed of the blade, making it look like it is moving slower than it is.",https://www.youtube.com/shorts/1SiTuYb506o
0036-7,1SiTuYb506o,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed.",18.01,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A,https://www.youtube.com/shorts/1SiTuYb506o
0037-0,KyyDh9NP_lc,Primary Open-ended Question,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,19.55,Please state your answer with a brief explanation.,"Multiple parts of the video are artificially edited to show video game glitches. For example, the cup levitating, the person's transformation into a low-resolution model, duplication of the person, and more, are all artificially edited.",https://www.youtube.com/shorts/KyyDh9NP_lc
0037-1,KyyDh9NP_lc,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In how many sections does the video show signs of artificial editing?,19.55,Please state your answer with a brief explanation.,"The video shows signs of artificial editing in 5 sections: The cup falling off the table, the character going into T-pose, the character turning into an error, the character making a clone, and the character dissolving into balls.",https://www.youtube.com/shorts/KyyDh9NP_lc
0037-2,KyyDh9NP_lc,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited in multiple parts to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,"Yes, the video is heavily edited. Many comments refer to the high quality of the video's editing and its purpose in creating a glitch effect.",https://www.youtube.com/shorts/KyyDh9NP_lc
0037-3,KyyDh9NP_lc,Wrongly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited only in one part to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,"No, the video uses a variety of editing techniques to create the effect of video game glitches. These include rapid object movements, texture glitches, T-posing, and clipping into other objects.",https://www.youtube.com/shorts/KyyDh9NP_lc
0037-7,KyyDh9NP_lc,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two",19.55,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A,https://www.youtube.com/shorts/KyyDh9NP_lc
0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,"The comments suggest the person has superhuman strength. Many comments reference the anime character Yujiro Hanma, implying the person in the video has similar strength. Some also suggest the bottle was already broken or cut.",https://www.youtube.com/shorts/sj81PWrerDk
0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,"The top comment said, ""I saw the broken cok from the start."" Thus, the bottle was probably already broken before he opened it.",https://www.youtube.com/shorts/sj81PWrerDk
0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,"Yes, the last person successfully broke the bottle. The video ends with them cleanly breaking the top of a Coca-Cola bottle off with a flick.",https://www.youtube.com/shorts/sj81PWrerDk
0038-3,sj81PWrerDk,Wrongly-led Open-ended Question,Professional Knowledge,Did the last person use a lighter as a lever to snap off the cap easily?,8.85,Please state your answer with a brief explanation.,"No, the last person in the video does not use a lighter as a lever. They use what appears to be a chopstick or small piece of wood to try and knock the top of the bottle off, but it breaks the top of the bottle off instead.",https://www.youtube.com/shorts/sj81PWrerDk
0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",C,https://www.youtube.com/shorts/sj81PWrerDk
0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,"The room went dark because the stick figure character accidentally hit the lamp, causing it to break.",https://www.youtube.com/shorts/sE-KTqE9Dek
0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,"The room became dark because after the stick figure character shut the door, the lamp on the table broke, causing the light in the room to go out.",https://www.youtube.com/shorts/sE-KTqE9Dek
0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,"No, the room went dark because the stick figure character runs into the bedroom, slams the door shut, and then the lamp falls.",https://www.youtube.com/shorts/sE-KTqE9Dek
0064-3,sE-KTqE9Dek,Wrongly-led Open-ended Question,Objective Causality,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?,12.61,Please state your answer with a brief explanation.,"No, the character was in the room, and then the light went out. It was a lamp, not a light switch being hit by the door.",https://www.youtube.com/shorts/sE-KTqE9Dek
0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A,https://www.youtube.com/shorts/sE-KTqE9Dek
0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,"The person in the video poured the water two times: the first time, the water ran down the side of the mug, and the second time, it poured correctly.",https://www.youtube.com/shorts/MSkL7A2yyOY
0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,The person pours water two times in the video. The first time is at [00:00:00-00:00:02] and the second time is at [00:00:08-00:00:10]. Both pours have interesting outcomes that the person is reacting to.,https://www.youtube.com/shorts/MSkL7A2yyOY
0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,"Yes, the person in the video pours the water twice. This is shown at [00:00:00] and [00:00:07].",https://www.youtube.com/shorts/MSkL7A2yyOY
0070-3,MSkL7A2yyOY,Wrongly-led Open-ended Question,Event Counting,Did the person in the video pour the water once?,12.97,Please state your answer with a brief explanation.,"No, the person poured the water twice, as shown at 0:00 and 0:08 in the video.",https://www.youtube.com/shorts/MSkL7A2yyOY
0070-7,MSkL7A2yyOY,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice",12.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/MSkL7A2yyOY
0080-0,_MXxJT8Mk4k,Primary Open-ended Question,Professional Knowledge,What is the purpose of beating the balloon?,13.18,Please state your answer with a brief explanation.,"The purpose of beating the balloon is to help mix the baking soda and vinegar. This reaction produces carbon dioxide, which inflates the balloon.",https://www.youtube.com/shorts/_MXxJT8Mk4k
0080-1,_MXxJT8Mk4k,Paraphrased Open-ended Question,Professional Knowledge,Why do you need to hit the balloon in this activity?,13.18,Please state your answer with a brief explanation.,You need to hit the balloon to mix the baking soda and vinegar to cause a reaction that inflates the balloon.,https://www.youtube.com/shorts/_MXxJT8Mk4k
0080-2,_MXxJT8Mk4k,Correctly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to create a fun and interactive toy?,13.18,Please state your answer with a brief explanation.,"Based on the video and comments, hitting the balloon is likely intended to showcase the reaction between baking soda and vinegar and demonstrate how the mixture inflates the balloon. However, the intensity of the hitting, as noted in the comments, appears exaggerated, possibly for comedic effect.",https://www.youtube.com/shorts/_MXxJT8Mk4k
0080-3,_MXxJT8Mk4k,Wrongly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to make it pop loudly?,13.18,Please state your answer with a brief explanation.,"The purpose of hitting the balloon isn't necessarily to pop it loudly, but to encourage the chemical reaction between the baking soda and vinegar, which in turn creates carbon dioxide, causing the balloon to inflate.",https://www.youtube.com/shorts/_MXxJT8Mk4k
0080-7,_MXxJT8Mk4k,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color",13.18,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A,https://www.youtube.com/shorts/_MXxJT8Mk4k
0081-0,crJZF1-5ryE,Primary Open-ended Question,Character Motivation Causality,Why does the man put his hand on his face?,11.86,Please state your answer with a brief explanation.,He puts his hand on his face to wipe the heart filter that's on his nose.,https://www.youtube.com/shorts/crJZF1-5ryE
0081-1,crJZF1-5ryE,Paraphrased Open-ended Question,Character Motivation Causality,What is the reason the man covers his face with his hand?,11.86,Please state your answer with a brief explanation.,"He initially covers his face to show a serious expression, as the top comment mentions ""The way he always got the face"". At [00:00:09] his serious face turns to a smile.",https://www.youtube.com/shorts/crJZF1-5ryE
0081-2,crJZF1-5ryE,Correctly-led Open-ended Question,Character Motivation Causality,Did the man cover his face to transfer the cat face filter to the girl next to him?,11.86,Please state your answer with a brief explanation.,"Yes, at [00:00:00] he covers his face with his hand and the filter transfers over to the girl next to him.",https://www.youtube.com/shorts/crJZF1-5ryE
0081-3,crJZF1-5ryE,Wrongly-led Open-ended Question,Character Motivation Causality,Did the man put his hand on his face as part of a synchronized dance move?,11.86,Please state your answer with a brief explanation.,"Yes, at [00:00:00] the man puts his hand on his face for a brief moment to synchronize with the dance.",https://www.youtube.com/shorts/crJZF1-5ryE
0081-7,crJZF1-5ryE,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him.",11.86,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/crJZF1-5ryE
0083-0,Z-x3kXiyOFc,Primary Open-ended Question,Plot Attribute,What does the video want to tell as the daughter enters the room several times?,43.97,Please state your answer with a brief explanation.,"The daughter is checking if her mom is starting to like the dog behind her back, which is a common behavior among Asian moms.",https://www.youtube.com/shorts/Z-x3kXiyOFc
0083-1,Z-x3kXiyOFc,Paraphrased Open-ended Question,Plot Attribute,What is the message conveyed by the daughter's repeated entries into the room?,43.97,Please state your answer with a brief explanation.,"The daughter repeatedly enters the room to emphasize the mother's contradicting actions and words regarding the dog. Initially, the mother is against the dog, but eventually grows fond of it.",https://www.youtube.com/shorts/Z-x3kXiyOFc
0083-2,Z-x3kXiyOFc,Correctly-led Open-ended Question,Plot Attribute,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?,43.97,Please state your answer with a brief explanation.,"Yes, the daughter is trying to figure out her mother's real feelings about the dog by repeatedly entering the room and listening to what she says and does when she thinks she is alone.",https://www.youtube.com/shorts/Z-x3kXiyOFc
0083-3,Z-x3kXiyOFc,Wrongly-led Open-ended Question,Plot Attribute,"Does the video show the daughter repeatedly entering the room to announce the pet dog, highlighting cultural differences?",43.97,Please state your answer with a brief explanation.,"Yes, the daughter in the video repeatedly enters the room. First to announce she got a dog, and later to react to her mom's behavior and comments.",https://www.youtube.com/shorts/Z-x3kXiyOFc
0083-7,Z-x3kXiyOFc,Multiple-choice Question with a Single Correct Answer,Plot Attribute,"Why does the daughter enter the room several times?
A. To announce the pet dog.
B. To show excitement about the pet.
C. To emphasize cultural differences.
D. To check if her mother is two-faced about the dog.",43.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",D,https://www.youtube.com/shorts/Z-x3kXiyOFc
0099-0,aUDYWYqtAR4,Primary Open-ended Question,Event Counting,How many zoomed-in close-ups are there throughout the video?,59.97,Please state your answer with a brief explanation.,"There are four zoomed-in close-ups throughout the video. They occur at [00:00:09], [00:00:11], [00:00:55], and [00:00:56].",https://www.youtube.com/shorts/aUDYWYqtAR4
0099-1,aUDYWYqtAR4,Paraphrased Open-ended Question,Event Counting,What is the total number of zoomed-in close-ups in the video?,59.97,Please state your answer with a brief explanation.,"There are two zoomed-in close-ups in the video. The first is at [00:00:09], and the second is at [00:00:55].",https://www.youtube.com/shorts/aUDYWYqtAR4
0099-2,aUDYWYqtAR4,Correctly-led Open-ended Question,Event Counting,"Are there two zoomed-in close-ups in the video, focusing on the geometric pattern?",59.97,Please state your answer with a brief explanation.,"Yes, there are two zoomed-in close-ups in the video that focus on the geometric pattern. The first one occurs at [00:00:09-00:00:16], and the second one occurs at [00:00:55-00:00:59].",https://www.youtube.com/shorts/aUDYWYqtAR4
0099-3,aUDYWYqtAR4,Wrongly-led Open-ended Question,Event Counting,Does the video contain 10 zoomed-in close-ups of the geometric pattern?,59.97,Please state your answer with a brief explanation.,"No, the video contains 5 close-up views, not 10. These close-ups occur at the following timestamps: 0:09, 0:11, 0:13, 0:56, and 0:58.",https://www.youtube.com/shorts/aUDYWYqtAR4
0099-7,aUDYWYqtAR4,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many zoomed-in close-ups are there in the video?
A. 2
B. 4
C. 3
D. 1",59.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",B,https://www.youtube.com/shorts/aUDYWYqtAR4
0101-0,FdkXmy42Qv8,Primary Open-ended Question,Event Localization,In which sequence of location does the man teleport in the video?,24.04,Please state your answer with a brief explanation.,"The man teleported to the following locations in this order: 
1. In the bookshelf
2. Inside the sofa
3. Inside the cardboard box
4. Back to the original location in the doorway.",https://www.youtube.com/shorts/FdkXmy42Qv8
0101-1,FdkXmy42Qv8,Paraphrased Open-ended Question,Event Localization,What is the order of locations where the man appears after teleporting in the video?,24.04,Please state your answer with a brief explanation.,"The order of locations where the man appears after teleporting is the bookshelf, inside the couch, and in the cardboard box.",https://www.youtube.com/shorts/FdkXmy42Qv8
0101-2,FdkXmy42Qv8,Correctly-led Open-ended Question,Event Localization,"Does the man teleport to the bookshelf, couch, cardboard box, and then back under the blanket in the video?",24.04,Please state your answer with a brief explanation.,"No, the man does not teleport in the video. Through special effects, the video shows the man appearing in different locations to make it seem as if he teleported.",https://www.youtube.com/shorts/FdkXmy42Qv8
0101-3,FdkXmy42Qv8,Wrongly-led Open-ended Question,Event Localization,"In the video, does the man first teleport to the bookshelf, then to the cardboard box, then to the couch, and finally return to under the blanket?",24.04,Please state your answer with a brief explanation.,"No, that is incorrect. The man first teleported to the bookshelf, then to the couch, then to the cardboard box, and finally returned to under the blanket.",https://www.youtube.com/shorts/FdkXmy42Qv8
0101-7,FdkXmy42Qv8,Multiple-choice Question with a Single Correct Answer,Event Localization,"In which sequence of location does the man teleport in the video?
A. Bookshelf, Couch, Blanket, Cardboard Box
B. Bookshelf, Couch, Cardboard Box, Blanket
C. Bookshelf, Couch, Cardboard Box, Door
D. Couch, Bookshelf, Cardboard Box, Blanket",24.04,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",B,https://www.youtube.com/shorts/FdkXmy42Qv8
0113-0,2uuLeoxlZOo,Primary Open-ended Question,Event Counting,How many buildings are demolished throughout the video?,59.54,Please state your answer with a brief explanation.,"Three buildings are demolished. One is a tall high-rise, another is a partially demolished building and the third is a water tower.",https://www.youtube.com/shorts/2uuLeoxlZOo
0113-1,2uuLeoxlZOo,Paraphrased Open-ended Question,Event Counting,What is the total number of buildings that are taken down in the video?,59.54,Please state your answer with a brief explanation.,There are three buildings that are taken down in the video. The first one comes down in an implosion and the second is taken down using a wrecking ball. The last building taken down is a water tower which is taken down with an excavator.,https://www.youtube.com/shorts/2uuLeoxlZOo
0113-2,2uuLeoxlZOo,Correctly-led Open-ended Question,Event Counting,Are two buildings demolished in the video?,59.54,Please state your answer with a brief explanation.,"Yes, two buildings are demolished in the video. One is a high-rise building that collapses in a controlled demolition and the other is a smaller, brick water tower brought down by an excavator.",https://www.youtube.com/shorts/2uuLeoxlZOo
0113-3,2uuLeoxlZOo,Wrongly-led Open-ended Question,Event Counting,Is only one building demolished in the video?,59.54,Please state your answer with a brief explanation.,"No, multiple buildings are demolished in the video. There is a high-rise building, a concrete tower, and a water tower that are all shown being demolished.",https://www.youtube.com/shorts/2uuLeoxlZOo
0113-7,2uuLeoxlZOo,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many buildings are demolished in the video?
A. Two
B. Three
C. Four
D. One",59.54,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",C,https://www.youtube.com/shorts/2uuLeoxlZOo
0117-0,uupXcgeP0-w,Primary Open-ended Question,Element Counting,How many toy cars are shown in the video?,22.04,Please state your answer with a brief explanation.,There are two toy cars shown in the video. This is seen between [00:00:06-00:00:12].,https://www.youtube.com/shorts/uupXcgeP0-w
0117-1,uupXcgeP0-w,Paraphrased Open-ended Question,Element Counting,What is the number of toy cars visible in the video?,22.04,Please state your answer with a brief explanation.,"Two toy cars are visible in the video. They appear during the 'boys driving' section of the video, when they are shown drifting around a course.",https://www.youtube.com/shorts/uupXcgeP0-w
0117-2,uupXcgeP0-w,Correctly-led Open-ended Question,Element Counting,Are there two toy cars shown in the video clip?,22.04,Please state your answer with a brief explanation.,"No, the video clip does not show two toy cars, but it does show one toy car and an additional vehicle during the section titled, ""Boys Driving"".",https://www.youtube.com/shorts/uupXcgeP0-w
0117-3,uupXcgeP0-w,Wrongly-led Open-ended Question,Element Counting,Are there three toy cars shown in the video clip?,22.04,Please state your answer with a brief explanation.,"No. While there are several cars in the video, only one toy car is shown. The others are full-sized automobiles.",https://www.youtube.com/shorts/uupXcgeP0-w
0117-7,uupXcgeP0-w,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many toy cars are shown in the video?
A. Three
B. Four
C. Two
D. One",22.04,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",C,https://www.youtube.com/shorts/uupXcgeP0-w
0118-0,XlROzogZpVM,Primary Open-ended Question,Local Event Attribute,"At the beginning of the video, what action did the person do to make the bottle fall down to the ground?",9.15,Please state your answer with a brief explanation.,"The person lightly taps the stacked bottles with his hand, causing them to fall to the ground.",https://www.youtube.com/shorts/XlROzogZpVM
0118-1,XlROzogZpVM,Paraphrased Open-ended Question,Local Event Attribute,What did the person do at the start of the video that caused the bottle to fall?,9.15,Please state your answer with a brief explanation.,"The person pushed the bottles off the ledge, causing them to fall.",https://www.youtube.com/shorts/XlROzogZpVM
0118-2,XlROzogZpVM,Correctly-led Open-ended Question,Local Event Attribute,"Did the person let go of the bottles on a slope, causing them to slide and fall?",9.15,Please state your answer with a brief explanation.,"Yes, the bottles were placed on a ledge next to a set of stairs, and gravity made them fall.",https://www.youtube.com/shorts/XlROzogZpVM
0118-3,XlROzogZpVM,Wrongly-led Open-ended Question,Local Event Attribute,Did the person push the bottle with their hand to make it fall?,9.15,Please state your answer with a brief explanation.,"Yes, the person pushes the bottles with their hand to make them fall. You can see their hand pushing the bottles over the ledge at the beginning of the clip.",https://www.youtube.com/shorts/XlROzogZpVM
0118-7,XlROzogZpVM,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,"What action did the person take to make the bottle fall?
A. Pushed it with their hand.
B. Threw it down.
C. Kicked it.
D. Placed it on a slope and let go.",9.15,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A,https://www.youtube.com/shorts/XlROzogZpVM
0127-0,NmqIqJsdIuk,Primary Open-ended Question,Element Counting,How many watches are shown in the video?,11.56,Please state your answer with a brief explanation.,The video shows 6 watches. Each watch has a unique design.,https://www.youtube.com/shorts/NmqIqJsdIuk
0127-1,NmqIqJsdIuk,Paraphrased Open-ended Question,Element Counting,What is the total number of watches displayed in the video?,11.56,Please state your answer with a brief explanation.,"Six watches are displayed in the video, each featuring a different car-themed design.",https://www.youtube.com/shorts/NmqIqJsdIuk
0127-2,NmqIqJsdIuk,Correctly-led Open-ended Question,Element Counting,Are there four watches shown in the video?,11.56,Please state your answer with a brief explanation.,"Yes, four watches are shown. The video showcases multiple watches designed with a car wheel aesthetic.",https://www.youtube.com/shorts/NmqIqJsdIuk
0127-3,NmqIqJsdIuk,Wrongly-led Open-ended Question,Element Counting,Are there five watches shown in the video?,11.56,Please state your answer with a brief explanation.,"No, there are six watches shown in the video. The watch faces are red, gold, red, green, green, and gold.",https://www.youtube.com/shorts/NmqIqJsdIuk
0127-7,NmqIqJsdIuk,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many watches are shown in the video?
A. Six
B. Four
C. Three
D. Five",11.56,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",B,https://www.youtube.com/shorts/NmqIqJsdIuk
0129-0,7t4cNOpTuCY,Primary Open-ended Question,Element Counting,How many men appear in the video?,30.81,Please state your answer with a brief explanation.,"Two men appear in the video. One is shown pulling the balloon string in front of the pink balloon, and the other is shown taking a photo for the avocado hat setup.",https://www.youtube.com/shorts/7t4cNOpTuCY
0129-1,7t4cNOpTuCY,Paraphrased Open-ended Question,Element Counting,What is the number of male figures shown in the video?,30.81,Please state your answer with a brief explanation.,There are two male figures in the video. One is seen holding the balloon string and the other is seen taking a picture.,https://www.youtube.com/shorts/7t4cNOpTuCY
